               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082216,             0.02563,            0.055446,             0.15466,             0.48904,              0.2147,            0.077202,            0.055255,           0.0088186,             0.04681,            0.070536,           0.0032738,           0.0032738
                   1,            0.056975,            0.015838,            0.044858,             0.36464,             0.62889,             0.55288,              0.2016,            0.052148,           0.0059185,            0.033081,            0.040405,           0.0064763,           0.0064763
                   2,            0.057809,            0.012441,            0.031539,             0.38355,             0.87008,             0.61073,             0.19365,            0.059546,            0.005811,            0.016988,            0.010142,           0.0095468,           0.0095468
                   3,            0.054901,            0.011385,            0.017577,             0.75554,             0.82696,             0.86096,             0.34721,            0.054301,           0.0066247,            0.010092,            0.009406,            0.009406,            0.009406
                   4,            0.050708,            0.011174,            0.012162,             0.75551,               0.891,             0.84628,             0.31098,             0.05183,           0.0090383,           0.0055484,            0.009406,            0.009406,            0.009406
                   5,            0.047695,            0.011013,           0.0097964,             0.51408,             0.51121,              0.4994,             0.16739,            0.063491,           0.0066086,            0.039486,            0.009208,            0.009208,            0.009208
                   6,            0.045204,            0.010766,           0.0094085,             0.69195,            0.087026,             0.12863,            0.054804,            0.081161,            0.011788,            0.039946,             0.00901,             0.00901,             0.00901
                   7,            0.043467,            0.010951,           0.0089776,             0.81423,             0.80653,             0.79635,             0.28079,            0.052513,           0.0056325,           0.0038536,            0.008812,            0.008812,            0.008812
                   8,            0.042674,            0.010652,           0.0086393,              0.8189,             0.68295,             0.69937,             0.26724,            0.053888,           0.0075088,           0.0085802,            0.008614,            0.008614,            0.008614
                   9,            0.041671,            0.010336,           0.0086324,             0.79966,              0.6929,             0.71655,             0.29567,            0.049239,           0.0069886,            0.012051,            0.008416,            0.008416,            0.008416
                  10,            0.041357,            0.010603,           0.0079715,             0.93421,             0.87279,             0.94153,             0.41007,             0.04138,           0.0057102,           0.0038563,            0.008218,            0.008218,            0.008218
                  11,            0.040024,             0.01007,           0.0074818,             0.93618,             0.91616,             0.91669,              0.3733,            0.046653,           0.0055575,           0.0026271,             0.00802,             0.00802,             0.00802
                  12,            0.038832,            0.010058,           0.0072013,             0.86064,             0.85462,             0.84002,             0.29634,            0.051584,           0.0056875,           0.0045819,            0.007822,            0.007822,            0.007822
                  13,            0.039083,           0.0099729,           0.0074919,             0.91333,             0.90336,             0.92772,             0.39322,            0.043581,           0.0057062,           0.0057341,            0.007624,            0.007624,            0.007624
                  14,            0.037991,           0.0097299,           0.0072271,              0.9219,             0.92913,             0.94112,             0.39608,            0.042402,           0.0056008,            0.002012,            0.007426,            0.007426,            0.007426
                  15,            0.038076,            0.010031,           0.0066281,             0.94626,             0.95197,             0.96609,             0.41964,            0.040732,           0.0055529,           0.0017289,            0.007228,            0.007228,            0.007228
                  16,            0.037186,           0.0099195,           0.0064252,             0.94896,             0.94354,             0.95101,             0.41763,            0.040593,           0.0052498,           0.0013182,             0.00703,             0.00703,             0.00703
                  17,            0.037529,           0.0098244,           0.0057591,             0.93508,             0.91129,             0.95096,             0.42402,            0.040565,           0.0058124,           0.0020471,            0.006832,            0.006832,            0.006832
                  18,            0.036437,           0.0097339,           0.0071326,              0.9248,             0.91869,             0.91698,             0.39525,            0.042046,           0.0053409,           0.0011442,            0.006634,            0.006634,            0.006634
                  19,            0.036253,           0.0099388,           0.0058828,             0.92959,             0.92449,             0.93105,             0.42292,            0.042246,           0.0053824,           0.0009185,            0.006436,            0.006436,            0.006436
                  20,            0.035374,           0.0098324,           0.0060278,             0.96258,             0.95707,             0.96491,             0.41876,            0.041177,           0.0051769,            0.001097,            0.006238,            0.006238,            0.006238
                  21,            0.035575,           0.0097572,           0.0049471,             0.98038,             0.97236,             0.98404,             0.46467,            0.039615,            0.005079,          0.00092617,             0.00604,             0.00604,             0.00604
                  22,            0.034851,           0.0094835,           0.0054106,             0.95362,             0.94482,             0.95611,             0.41336,            0.041357,           0.0053627,          0.00097143,            0.005842,            0.005842,            0.005842
                  23,            0.035257,           0.0095205,           0.0050646,             0.96637,             0.95772,             0.96898,              0.4166,            0.039566,           0.0051488,          0.00073347,            0.005644,            0.005644,            0.005644
                  24,            0.034619,           0.0094892,           0.0042702,             0.97761,             0.95974,             0.97535,             0.43516,            0.040444,           0.0053141,           0.0012325,            0.005446,            0.005446,            0.005446
                  25,             0.03438,           0.0093809,           0.0050233,             0.96346,             0.94307,             0.97135,             0.48593,            0.037997,           0.0054991,          0.00073469,            0.005248,            0.005248,            0.005248
                  26,            0.034059,           0.0097398,           0.0049946,             0.95675,             0.94779,             0.96572,             0.45444,            0.039679,           0.0052097,          0.00077883,             0.00505,             0.00505,             0.00505
                  27,            0.033259,           0.0095951,           0.0044807,             0.98069,              0.9672,             0.97399,             0.49159,            0.035659,           0.0049992,          0.00071391,            0.004852,            0.004852,            0.004852
                  28,            0.033869,           0.0093948,           0.0041267,             0.98604,              0.9753,             0.99023,             0.47418,            0.036058,           0.0051007,          0.00066668,            0.004654,            0.004654,            0.004654
                  29,            0.033609,           0.0091368,            0.004213,             0.97048,             0.96289,             0.97907,             0.45115,            0.037721,           0.0051928,           0.0006367,            0.004456,            0.004456,            0.004456
                  30,            0.032955,           0.0093835,           0.0045742,             0.97991,             0.97078,             0.98309,              0.4559,             0.03796,           0.0051088,           0.0005981,            0.004258,            0.004258,            0.004258
                  31,            0.032933,           0.0093438,           0.0038895,             0.97637,             0.97621,             0.98173,             0.45659,            0.037241,            0.005168,          0.00055973,             0.00406,             0.00406,             0.00406
                  32,            0.032465,           0.0088397,           0.0040719,             0.97695,             0.98312,             0.98229,              0.4465,            0.038772,           0.0051017,          0.00051007,            0.003862,            0.003862,            0.003862
                  33,            0.032833,           0.0093969,           0.0043592,             0.98051,             0.97133,              0.9849,             0.46958,            0.037993,           0.0050545,           0.0005213,            0.003664,            0.003664,            0.003664
                  34,            0.031768,           0.0093925,           0.0039567,             0.97777,             0.97085,             0.97496,             0.46235,            0.037795,            0.005184,          0.00057101,            0.003466,            0.003466,            0.003466
                  35,             0.03184,           0.0089991,           0.0037478,             0.97814,             0.96716,              0.9792,             0.46844,            0.037211,           0.0052281,          0.00050285,            0.003268,            0.003268,            0.003268
                  36,            0.031714,           0.0091099,           0.0033874,             0.98705,             0.97718,             0.98988,             0.48527,            0.035339,            0.005109,           0.0005051,             0.00307,             0.00307,             0.00307
                  37,            0.030898,           0.0088058,           0.0032531,             0.95723,             0.95529,             0.95024,             0.46032,            0.036125,           0.0050399,          0.00041388,            0.002872,            0.002872,            0.002872
                  38,            0.031539,           0.0090252,           0.0035282,             0.96218,             0.95555,              0.9603,             0.45052,            0.036529,           0.0050667,          0.00042558,            0.002674,            0.002674,            0.002674
                  39,            0.030688,           0.0089862,           0.0027696,              0.9865,             0.97833,             0.98683,             0.49553,            0.035736,           0.0050831,          0.00036942,            0.002476,            0.002476,            0.002476
                  40,            0.030831,            0.008952,           0.0028204,             0.96026,             0.97962,             0.97069,             0.46937,            0.037522,           0.0051333,          0.00038104,            0.002278,            0.002278,            0.002278
                  41,            0.030662,           0.0089471,           0.0034563,             0.98718,             0.97793,             0.98732,             0.48547,            0.037107,           0.0051142,          0.00036157,             0.00208,             0.00208,             0.00208
