               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06401,            0.041355,            0.048449,             0.62979,             0.15104,           0.0055136,           0.0015421,            0.081463,             0.60253,              0.1254,            0.070455,           0.0032828,           0.0032828
                   1,              0.0534,            0.038926,            0.036039,             0.15902,             0.11792,            0.034015,            0.011311,            0.082719,            0.041091,             0.12746,            0.040389,           0.0065507,           0.0065507
                   2,            0.053846,            0.038564,            0.033198,             0.14973,             0.16709,            0.012912,           0.0028993,            0.077901,            0.082414,            0.091888,            0.010258,           0.0097525,           0.0097525
                   3,            0.052744,            0.039447,            0.031392,             0.16874,             0.38255,              0.2393,            0.065701,            0.059396,             0.04848,            0.028566,            0.009703,            0.009703,            0.009703
                   4,            0.051106,            0.039761,            0.025412,             0.82574,              0.6831,             0.74222,             0.29612,            0.052376,            0.011003,            0.014809,            0.009703,            0.009703,            0.009703
                   5,            0.049993,             0.03754,            0.022451,             0.91687,             0.75038,             0.81028,             0.32504,            0.047002,           0.0093417,           0.0037184,            0.009604,            0.009604,            0.009604
                   6,            0.049375,            0.038544,            0.019754,             0.47129,             0.42651,             0.46056,             0.16343,            0.060194,           0.0078635,            0.022207,            0.009505,            0.009505,            0.009505
                   7,            0.048879,            0.037935,            0.019714,              0.4379,             0.37701,             0.30379,             0.12337,            0.070982,            0.027199,            0.034157,            0.009406,            0.009406,            0.009406
                   8,            0.046329,             0.03678,              0.0183,             0.85088,             0.62026,             0.70347,             0.27872,            0.047697,           0.0075657,           0.0078944,            0.009307,            0.009307,            0.009307
                   9,            0.047051,            0.038445,             0.01961,             0.72558,             0.77723,             0.77905,             0.32638,            0.046632,           0.0084072,           0.0031178,            0.009208,            0.009208,            0.009208
                  10,            0.046842,            0.037324,            0.018497,             0.87647,             0.74608,             0.76466,             0.30892,            0.047897,           0.0070047,           0.0022104,            0.009109,            0.009109,            0.009109
                  11,            0.046281,            0.036568,            0.017563,             0.57487,             0.33376,             0.31394,             0.11025,            0.063809,            0.014181,            0.016211,             0.00901,             0.00901,             0.00901
                  12,            0.045864,             0.03793,            0.016893,             0.72904,             0.72543,             0.77844,             0.34532,            0.047448,           0.0071188,            0.008066,            0.008911,            0.008911,            0.008911
                  13,            0.045814,            0.037371,            0.017151,              0.8944,              0.7234,             0.79179,             0.36118,            0.045024,           0.0068004,           0.0033401,            0.008812,            0.008812,            0.008812
                  14,            0.045605,            0.036931,             0.01611,             0.75581,             0.62682,             0.71716,             0.25635,            0.052179,           0.0094018,           0.0058743,            0.008713,            0.008713,            0.008713
                  15,            0.045153,            0.037527,            0.016298,             0.60579,             0.64581,             0.72193,             0.32155,            0.048011,           0.0069011,            0.022835,            0.008614,            0.008614,            0.008614
